,min_bias,a,b,c
Banner_2020-02-18,-4.686960408835455e-05,2.5,0.5,0.67
Banner_2021-03-15,8.108609297750143e-05,2.5,0.8,0.34
Cameron_2021-03-19,-0.00015708725154269372,2.5,0.8,0.89
Dry_Creek_2020-02-19,0.00021026412547182544,3.0,0.2,0.43
Frasier_2020-02-11,0.0031494343779553628,3.0,1.0,0.98
Frasier_2021-03-19,2.0403585838200675e-05,2.0,0.4,0.81
Little_Cottonwood_2021-03-18,-0.0003330690388635692,3.0,0.6,0.42
Mores_2020-02-09,-0.00013351013112983452,2.5,0.5,0.59
Mores_2021-03-15,-0.0003647122128975081,2.0,0.0,0.66
