,B_20_params,B_21_params,C_21_params,DC_20_params,F_20_params,F_21_params,LC_21_params,M_20_params,M_21_params,Lievens,Regional
Banner_2020-02-18,-4.686960408835455e-05,0.7045289806805064,-0.5974187871315316,0.440199884141061,-1.2037987635011962,0.023445235475221902,0.40977071963572737,0.18018194097124318,0.36817202191415394,0.6866313160434802,0.32417079353954753
Banner_2021-03-15,-1.221912339637249,8.108609297750143e-05,-2.4053170007731035,-0.3836403273825022,-3.5836287674193765,-1.1354239870489127,-0.514806085732757,-0.8984536186199156,-0.3924462717977135,0.014094563768516337,-0.561340734658546
Cameron_2021-03-19,0.3957565040161913,0.8626384307127533,-0.00015708725154269372,0.6800290046934058,-0.40534536060117554,0.40819556361627374,0.6671015263288144,0.5151889134145023,0.6122259729459101,0.8503247721875411,0.6024252574560848
Dry_Creek_2020-02-19,-0.5946966865840951,0.0908009154635405,-1.4581069142710443,0.00021026412547182544,-2.1967367035336305,-0.49238565825872355,-0.17062552486723193,-0.39851707339854087,0.11398378057429978,0.1518093140783269,-0.0924758274321712
Frasier_2020-02-11,0.5263248656247443,0.7844619615838184,0.2624101559018737,0.6995782174161943,0.0031494343779553628,0.5303871822023879,0.6820868012788466,0.5956812871627314,0.6383249394004871,0.7841808131317178,0.6549678297949889
Frasier_2021-03-19,-0.03943073507558067,0.33759130017996747,-0.5098003019116688,0.26251068879051104,-0.9821314452121285,2.0403585838200675e-05,0.1837821524357356,0.06813512958693403,0.27063410197936616,0.3669738403117371,0.21104711785988098
Little_Cottonwood_2021-03-18,-0.8267941155251067,0.47948682644150065,-1.7108881294403617,-0.03907339869426328,-2.464241788164613,-0.9715383536992597,-0.0003330690388635692,-0.5091426630243807,-0.455168620675222,0.3093025817305407,-0.34719237541906245
Mores_2020-02-09,-0.24424516138840716,0.7268771849001779,-1.009364000820737,0.35306732317200024,-1.735610723415121,-0.22911802720123284,0.33614716950706647,-0.00013351013112983452,0.22601305499571384,0.6818622928077901,0.17570161118231178
Mores_2021-03-15,-0.4969193437313146,0.5085976396640027,-1.2681136651950216,0.0745605238126182,-2.086871610095466,-0.4403425293198512,0.06766108893444867,-0.24571365916805946,-0.0003647122128975081,0.4807303574400521,-0.0741183980908444
