,rmse_default,rmse_opt,pct_change,A_opt,B_opt,C_opt
Banner_2020-02-18,0.29233282908895264,0.1903796860256082,0.34875707727072136,1.0,1.0,0.65
Banner_2021-03-15,0.33841823424791734,0.18264618357936305,0.4602944962901712,1.0,0.7000000000000001,0.48
Cameron_2021-03-19,0.332265741116096,0.13533545667482325,0.5926891041483086,1.0,0.2,0.56
Dry_Creek_2020-02-19,0.27463724091673414,0.10093754289649585,0.6324695712803982,1.0,0.7000000000000001,0.59
Frasier_2020-02-11,,,,,,
Frasier_2021-03-19,0.18634581103422396,0.11815358565512248,0.36594450393401873,1.0,0.6000000000000001,0.5
Little_Cottonwood_2021-03-18,0.41217186710909093,0.34771449448167074,0.1563846971883698,1.0,1.0,0.49
Mores_2020-02-09,0.39947116590122256,0.2735075028848289,0.3153260454536555,1.0,1.0,0.6900000000000001
Mores_2021-03-15,0.2734840143636666,0.15777767491177783,0.4230826424027393,1.0,0.5,0.67
